sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,MAE,RMSE,MAPE
JPM_w08_s0001,JPM,finance,8,moving_average,none,3.154159872872486,4.159507208934173,3.9170613502303815
JPM_w08_s0001,JPM,finance,8,linear_trend,none,32.504892235650864,33.71511931021132,41.72313525558739
JPM_w08_s0002,JPM,finance,8,naive,none,9.194103785923549,10.501266160688868,10.521157272073454
JPM_w08_s0002,JPM,finance,8,moving_average,none,10.35152260916573,11.528185758364787,11.889512117169767
JPM_w08_s0002,JPM,finance,8,linear_trend,none,8.157533445335272,9.55342791922346,9.303629362158397
JPM_w08_s0003,JPM,finance,8,naive,none,3.957801273890904,4.460314714511838,4.6907108578226895
JPM_w08_s0003,JPM,finance,8,moving_average,none,2.6691737583705373,2.9411171027356526,3.17617892949353
JPM_w08_s0003,JPM,finance,8,linear_trend,none,7.927986879075257,8.174393250262819,9.554738946582793
JPM_w08_s0004,JPM,finance,8,naive,none,1.491356440952846,1.8402276448753707,1.7042686666517828
JPM_w08_s0004,JPM,finance,8,moving_average,none,3.01849365234375,3.3756995504747964,3.452049749269375
JPM_w08_s0004,JPM,finance,8,linear_trend,none,2.356477322421227,2.7870236276465747,2.6895558161959605
JPM_w08_s0005,JPM,finance,8,naive,none,2.719160897391183,3.065029687452904,3.1855476988769422
JPM_w08_s0005,JPM,finance,8,moving_average,none,2.5083372933523997,3.125868110935813,2.990279038750349
JPM_w08_s0005,JPM,finance,8,linear_trend,none,3.036535760475142,3.8572245763089845,3.6526025461037746
JPM_w08_s0006,JPM,finance,8,naive,none,12.371230806623185,14.13210303228592,12.094620984582235
JPM_w08_s0006,JPM,finance,8,moving_average,none,11.140719985961908,12.693201063642185,10.91211926534862
JPM_w08_s0006,JPM,finance,8,linear_trend,none,10.991798590437968,12.563391005950322,10.751828837134836
JPM_w08_s0007,JPM,finance,8,naive,none,6.2070285252162325,8.687254978635384,5.2829026745445
JPM_w08_s0007,JPM,finance,8,moving_average,none,6.355029732840403,8.916950482332389,5.403796804979545
JPM_w08_s0007,JPM,finance,8,linear_trend,none,5.063808906369096,5.840770095948511,4.688750847535729
JPM_w08_s0008,JPM,finance,8,naive,none,5.638606207711355,6.754754547292172,4.546571230052613
JPM_w08_s0008,JPM,finance,8,moving_average,none,5.55649528503418,6.573606552122168,4.5324515519287445
JPM_w08_s0008,JPM,finance,8,linear_trend,none,3.994083440837376,4.946864914883483,3.372822101611571
JPM_w08_s0009,JPM,finance,8,naive,none,2.7967545645577565,3.3016147732025356,2.060758155846472
JPM_w08_s0009,JPM,finance,8,moving_average,none,2.7637249537876625,3.270165294362829,2.0363112955983365
JPM_w08_s0009,JPM,finance,8,linear_trend,none,3.084345638895763,3.468372974991045,2.2927187382455974
JPM_w08_s0010,JPM,finance,8,naive,none,3.756867000034877,4.256123898332802,2.741009391054894
JPM_w08_s0010,JPM,finance,8,moving_average,none,3.617115020751953,4.348362775377259,2.608880008624011
JPM_w08_s0010,JPM,finance,8,linear_trend,none,3.749972746590141,4.586949944638855,2.7876966299029036
JPM_w08_s0011,JPM,finance,8,naive,none,4.4694671630859375,5.413717497613963,3.254426390498591
JPM_w08_s0011,JPM,finance,8,moving_average,none,4.6873995099748855,6.040145395586663,3.440214125724324
JPM_w08_s0011,JPM,finance,8,linear_trend,none,6.048533963173013,7.71518664643194,4.437434036841433
JPM_w08_s0012,JPM,finance,8,naive,none,1.890725816999163,2.287976020753131,1.3917970277870915
JPM_w08_s0012,JPM,finance,8,moving_average,none,1.9339158194405692,2.419087994542709,1.4155721601824744
JPM_w08_s0012,JPM,finance,8,linear_trend,none,2.502070087135326,3.2265447135772276,1.8295687514045706
JPM_w08_s0013,JPM,finance,8,naive,none,1.8987524850027901,2.282908303038456,1.3410668665668612
JPM_w08_s0013,JPM,finance,8,moving_average,none,3.9395760672432982,4.339419199623276,2.781387533506345
JPM_w08_s0013,JPM,finance,8,linear_trend,none,4.986997724301484,5.317016420924691,3.5251628786078
JPM_w08_s0014,JPM,finance,8,naive,none,8.41730717250279,9.028468830962991,5.64790151872937
JPM_w08_s0014,JPM,finance,8,moving_average,none,8.07463618687221,8.659063962360905,5.420348234254691
JPM_w08_s0014,JPM,finance,8,linear_trend,none,3.889901738715097,4.397546748664851,2.6392340428474306
JPM_w08_s0015,JPM,finance,8,naive,none,3.164966038295201,4.174953340307469,2.188450477015861
JPM_w08_s0015,JPM,finance,8,moving_average,none,4.481527056012835,5.66947882986409,3.0988270150397765
JPM_w08_s0015,JPM,finance,8,linear_trend,none,10.1823153830891,11.927380475252072,7.010733504543497
JPM_w08_s0016,JPM,finance,8,naive,none,4.190066746303013,4.5699749870602755,2.9290559221370556
JPM_w08_s0016,JPM,finance,8,moving_average,none,3.4198732648576993,4.384216704847492,2.3531220856829598
JPM_w08_s0016,JPM,finance,8,linear_trend,none,4.044464084335891,5.468137078979879,2.7626269957058396
JPM_w08_s0017,JPM,finance,8,naive,none,3.088160923549107,3.668212765248675,2.3165801402224844
JPM_w08_s0017,JPM,finance,8,moving_average,none,11.357581220354364,11.881037299937116,8.51341673501965
JPM_w08_s0017,JPM,finance,8,linear_trend,none,10.827918688371,11.354134166430681,8.117800351762938
JPM_w08_s0018,JPM,finance,8,naive,none,5.036878858293804,6.287644044050467,4.222837154013302
JPM_w08_s0018,JPM,finance,8,moving_average,none,9.619877624511727,10.359030046887762,7.978369773601955
JPM_w08_s0018,JPM,finance,8,linear_trend,none,4.968225551616475,6.628741508944545,4.157112316132889
JPM_w08_s0019,JPM,finance,8,naive,none,6.210484368460519,7.3064791099000885,5.6520811237609205
JPM_w08_s0019,JPM,finance,8,moving_average,none,7.651606151035854,8.776342719057961,6.951520981443396
JPM_w08_s0019,JPM,finance,8,linear_trend,none,2.011189135109509,2.328667716474798,1.7825062980314683
JPM_w08_s0020,JPM,finance,8,naive,none,5.797671726771766,6.426287257575225,5.176084955027243
JPM_w08_s0020,JPM,finance,8,moving_average,none,5.762814113071989,6.572735466070459,5.119920256803376
JPM_w08_s0020,JPM,finance,8,linear_trend,none,12.023687990802575,12.919640335850286,10.773648897985195
JPM_w08_s0021,JPM,finance,8,naive,none,1.2134096963065022,1.641603690699636,1.1857468927012849
JPM_w08_s0021,JPM,finance,8,moving_average,none,1.3162735530308336,1.8402734414033424,1.2889905954263166
JPM_w08_s0021,JPM,finance,8,linear_trend,none,2.023804881111992,2.552991971160294,1.9695568731104087
JPM_w08_s0022,JPM,finance,8,naive,none,2.6550382886614052,3.406632359084754,2.4303333660710496
JPM_w08_s0022,JPM,finance,8,moving_average,none,3.2038809095110206,4.093673845785503,2.929525105599152
JPM_w08_s0022,JPM,finance,8,linear_trend,none,3.193869360354013,4.112057761107126,2.919449318819005
JPM_w08_s0023,JPM,finance,8,naive,none,7.053777422223781,7.969085227054845,7.050800842716448
JPM_w08_s0023,JPM,finance,8,moving_average,none,6.544864981515066,7.420805008699028,6.516731368145558
JPM_w08_s0023,JPM,finance,8,linear_trend,none,6.959560535178372,7.9070135857635835,6.971324878575048
JPM_w08_s0024,JPM,finance,8,naive,none,7.283715384347114,7.903933221195693,5.91480766397003
JPM_w08_s0024,JPM,finance,8,moving_average,none,8.567850821358814,9.10097347881011,6.968923656918445
JPM_w08_s0024,JPM,finance,8,linear_trend,none,15.565752493092287,15.799187724375017,12.721672863162542
JPM_w08_s0025,JPM,finance,8,naive,none,3.5996314457484644,4.779850169248387,2.833513206268323
JPM_w08_s0025,JPM,finance,8,moving_average,none,3.0138014112200042,3.9418863959482033,2.384098728441741
JPM_w08_s0025,JPM,finance,8,linear_trend,none,13.06382387846797,13.387122877759039,10.535151414418163
JPM_w08_s0026,JPM,finance,8,naive,none,5.496428353445871,5.809992739020091,4.196052143986576
JPM_w08_s0026,JPM,finance,8,moving_average,none,2.047916957310268,2.489458825191473,1.560990487821721
JPM_w08_s0026,JPM,finance,8,linear_trend,none,2.4547062965092468,2.76675934050164,1.8721833396848937
JPM_w08_s0027,JPM,finance,8,naive,none,10.565140042986188,11.438211591403588,8.828905861332304
JPM_w08_s0027,JPM,finance,8,moving_average,none,9.915416445050921,10.748430585183547,8.286384744346355
JPM_w08_s0027,JPM,finance,8,linear_trend,none,12.775908214801179,13.856919965065796,10.676456952414526
JPM_w08_s0028,JPM,finance,8,naive,none,8.144250597272599,8.685565509227697,6.300785013136317
JPM_w08_s0028,JPM,finance,8,moving_average,none,8.83216214861189,9.33482975773336,6.837729414111594
JPM_w08_s0028,JPM,finance,8,linear_trend,none,18.722282574739758,19.300202279033105,14.556904415499245
JPM_w08_s0029,JPM,finance,8,naive,none,1.9966231754847936,2.46465879870439,1.5225075085260118
JPM_w08_s0029,JPM,finance,8,moving_average,none,2.7381672995431154,3.326023248014714,2.073858667034571
JPM_w08_s0029,JPM,finance,8,linear_trend,none,4.609096375370553,4.966110363351325,3.542360729632372
JPM_w08_s0030,JPM,finance,8,naive,none,7.929452078683036,9.02252217146731,5.42960788661239
JPM_w08_s0030,JPM,finance,8,moving_average,none,11.826935686383917,12.642453826070692,8.14098644839766
JPM_w08_s0030,JPM,finance,8,linear_trend,none,8.088573891162493,8.786692335788446,5.561690491014409
JPM_w08_s0031,JPM,finance,8,naive,none,5.426138196672712,5.820253990395777,3.9275492658407622
JPM_w08_s0031,JPM,finance,8,moving_average,none,6.8291561671665795,7.251250342180221,4.940806807637664
JPM_w08_s0031,JPM,finance,8,linear_trend,none,18.6615097354673,19.541694998197524,13.474711424062672
JPM_w08_s0032,JPM,finance,8,naive,none,3.358844757080078,4.259551838807141,2.5065063340832814
