sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_points,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
BAC_w12_s0020,BAC,finance,linear_trend,12,1.0,60,4.8816446453648865,32.66410611417175,27.782461468806865,569.1209313071623,False
CVX_w12_s0012,CVX,energy,moving_average,12,2.0,120,1.718585272597659,11.49651510145682,9.77792982885916,568.9522646775462,False
WMT_w04_s0010,WMT,consumer,moving_average,4,2.0,40,5.141813217189937,34.3884967540642,29.24668353687426,568.8009715930118,False
NVDA_w08_s0016,NVDA,technology,moving_average,8,1.0,40,9.148291501950414,61.179000066367465,52.030708564417054,568.747820872609,False
NVDA_w08_s0020,NVDA,technology,moving_average,8,0.5,20,6.087725992066883,40.7080739000135,34.62034790794662,568.6909685662847,False
AAPL_w12_s0041,AAPL,technology,moving_average,12,2.0,120,2.127706735666413,14.201073139911644,12.073366404245233,567.435643355416,False
TGT_w08_s0024,TGT,consumer,moving_average,8,2.0,80,2.7899810091372386,18.620845671612464,15.830864662475223,567.4183663124894,False
BAC_w08_s0037,BAC,finance,naive,8,2.0,80,4.093303129353272,27.308818401233648,23.215515271880378,567.1584668479793,False
TGT_w12_s0013,TGT,consumer,moving_average,12,2.0,120,3.393974914153572,22.63529418411401,19.24131926996044,566.9257951707359,False
BAC_w04_s0004,BAC,finance,naive,4,2.0,40,4.41538820127103,29.429147562464436,25.013759361193408,566.5132536702629,False
MSFT_w08_s0029,MSFT,technology,linear_trend,8,1.0,40,1.8521189746826336,12.34009275037474,10.487973775692106,566.2689016772939,False
AAPL_w12_s0022,AAPL,technology,naive,12,1.0,60,5.861721416665574,39.03810807240143,33.176386655735854,565.9836812000555,False
AAPL_w08_s0030,AAPL,technology,linear_trend,8,2.0,80,3.9211686673051536,26.07567414307689,22.154505475771735,564.9975136366055,False
BAC_w08_s0004,BAC,finance,naive,8,0.5,20,1.7941822957514737,11.928077377055226,10.133895081303752,564.8197011697343,False
COST_w04_s0000,COST,consumer,naive,4,2.0,40,2.468504395844186,16.40966498085469,13.941160585010504,564.7614243053785,False
