sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0006,AAPL,technology,4,naive,statistical,0.5,10,18.06337633191754,18.39251481526104,15.969179657045343
AAPL_w04_s0006,AAPL,technology,4,moving_average,statistical,0.5,10,14.814759966973,15.21434026174464,13.080084609638472
AAPL_w04_s0006,AAPL,technology,4,linear_trend,statistical,0.5,10,31.006848363849674,31.79789977323808,27.531982932111355
AAPL_w04_s0006,AAPL,technology,4,naive,statistical,1.0,20,15.199272107001434,15.588999624856944,13.42204315279287
AAPL_w04_s0006,AAPL,technology,4,moving_average,statistical,1.0,20,20.209652598956524,20.504367702800014,17.877929548347176
AAPL_w04_s0006,AAPL,technology,4,linear_trend,statistical,1.0,20,34.510921874968304,35.06257808764992,30.64103909535586
AAPL_w04_s0006,AAPL,technology,4,naive,statistical,2.0,40,40.00817675751115,40.15785407839136,35.48536966029218
AAPL_w04_s0006,AAPL,technology,4,moving_average,statistical,2.0,40,38.94985364969894,39.103582138393456,34.544170175388174
AAPL_w04_s0006,AAPL,technology,4,linear_trend,statistical,2.0,40,54.776784340544985,55.19413174620538,48.66903771286022
AAPL_w04_s0007,AAPL,technology,4,naive,statistical,0.5,10,8.253246944830295,9.049156429801245,6.949624436291904
AAPL_w04_s0007,AAPL,technology,4,moving_average,statistical,0.5,10,11.347167205880567,11.938565682563128,9.59211032963399
AAPL_w04_s0007,AAPL,technology,4,linear_trend,statistical,0.5,10,17.455886771667416,18.602614878739068,14.745599230620748
AAPL_w04_s0007,AAPL,technology,4,naive,statistical,1.0,20,15.494894446247315,15.933075687355801,13.134642068438149
AAPL_w04_s0007,AAPL,technology,4,moving_average,statistical,1.0,20,15.667730673214137,16.101209004513848,13.282259735696082
AAPL_w04_s0007,AAPL,technology,4,linear_trend,statistical,1.0,20,22.585509819822672,23.5348343692257,19.12265804979371
AAPL_w04_s0007,AAPL,technology,4,naive,statistical,2.0,40,22.78724297713153,23.08743358317448,19.362962935264232
AAPL_w04_s0007,AAPL,technology,4,moving_average,statistical,2.0,40,24.0195676736912,24.304542336561163,20.415478951165227
AAPL_w04_s0007,AAPL,technology,4,linear_trend,statistical,2.0,40,31.17872945797091,31.890918174662268,26.460173532082177
AAPL_w04_s0008,AAPL,technology,4,naive,statistical,0.5,10,4.9893928315560965,5.559914780775821,3.905710086858972
AAPL_w04_s0008,AAPL,technology,4,moving_average,statistical,0.5,10,3.673697459562386,4.566408506697896,2.8216097072368274
AAPL_w04_s0008,AAPL,technology,4,linear_trend,statistical,0.5,10,10.276447983475725,11.3762369136428,8.037684031901057
AAPL_w04_s0008,AAPL,technology,4,naive,statistical,1.0,20,8.228316802064157,9.051774407241679,6.488713615485138
AAPL_w04_s0008,AAPL,technology,4,moving_average,statistical,1.0,20,6.340572292545785,7.021704632433669,4.991060567888087
AAPL_w04_s0008,AAPL,technology,4,linear_trend,statistical,1.0,20,14.650818041136057,15.388009715360566,11.438682650757945
AAPL_w04_s0008,AAPL,technology,4,naive,statistical,2.0,40,18.30476301585245,18.86524506133512,14.336745816454059
AAPL_w04_s0008,AAPL,technology,4,moving_average,statistical,2.0,40,18.02688891748935,18.59574806780329,14.120959086888806
AAPL_w04_s0008,AAPL,technology,4,linear_trend,statistical,2.0,40,28.06833082563787,28.481912585881023,21.855182683031323
AAPL_w04_s0009,AAPL,technology,4,naive,statistical,0.5,10,10.52663850815689,12.248381446593262,8.70250875733861
AAPL_w04_s0009,AAPL,technology,4,moving_average,statistical,0.5,10,12.57477822758845,14.047696510562544,10.346346185218529
AAPL_w04_s0009,AAPL,technology,4,linear_trend,statistical,0.5,10,22.422521851604014,24.68737929350629,18.409128102409415
AAPL_w04_s0009,AAPL,technology,4,naive,statistical,1.0,20,18.790258217646063,19.806224619186114,15.334891909399454
AAPL_w04_s0009,AAPL,technology,4,moving_average,statistical,1.0,20,19.06973785990153,20.07156276489702,15.559202337009115
AAPL_w04_s0009,AAPL,technology,4,linear_trend,statistical,1.0,20,29.904459047536914,31.768963151535186,24.429204817117235
AAPL_w04_s0009,AAPL,technology,4,naive,statistical,2.0,40,36.723300790124185,37.25336965566704,29.727956160204144
AAPL_w04_s0009,AAPL,technology,4,moving_average,statistical,2.0,40,31.095306976778016,31.719565661589662,25.21092698173446
AAPL_w04_s0009,AAPL,technology,4,linear_trend,statistical,2.0,40,38.474175021829176,39.8394684822122,31.29260366655936
AAPL_w04_s0010,AAPL,technology,4,naive,statistical,0.5,10,13.419216013373752,14.40227138872506,10.744370676901603
AAPL_w04_s0010,AAPL,technology,4,moving_average,statistical,0.5,10,14.34009715985361,15.263959161860447,11.493946186043305
AAPL_w04_s0010,AAPL,technology,4,linear_trend,statistical,0.5,10,28.071081754914637,30.2214808732785,22.48691032424454
AAPL_w04_s0010,AAPL,technology,4,naive,statistical,1.0,20,28.127369650695524,28.609421284041545,22.71646044480846
AAPL_w04_s0010,AAPL,technology,4,moving_average,statistical,1.0,20,24.505782338805894,25.057602255160663,19.76857388682237
AAPL_w04_s0010,AAPL,technology,4,linear_trend,statistical,1.0,20,37.15992235348303,38.87303353014414,29.878619603952615
AAPL_w04_s0010,AAPL,technology,4,naive,statistical,2.0,40,36.61191930955568,36.98354631819829,29.622683527655845
AAPL_w04_s0010,AAPL,technology,4,moving_average,statistical,2.0,40,38.30137177441116,38.65676063177775,30.997857942242963
AAPL_w04_s0010,AAPL,technology,4,linear_trend,statistical,2.0,40,51.90592449224665,53.094710191531306,41.888607491175364
AAPL_w04_s0011,AAPL,technology,4,naive,statistical,0.5,10,20.22489996698327,20.500981635747987,16.259202139287183
AAPL_w04_s0011,AAPL,technology,4,moving_average,statistical,0.5,10,15.279603614044202,15.643207981648425,12.300958342934457
AAPL_w04_s0011,AAPL,technology,4,linear_trend,statistical,0.5,10,30.213713523560596,31.902434999780056,24.38190920973085
AAPL_w04_s0011,AAPL,technology,4,naive,statistical,1.0,20,27.110452089440297,27.317032815601223,21.770437872810206
