sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_series,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
COST_w12_s0019,COST,consumer,linear_trend,12,2.0,120,27.77000509186674,6.896517430481204,-20.873487661385536,-75.16558816728107,True
NVDA_w08_s0019,NVDA,technology,linear_trend,8,0.5,20,42.87354176244371,22.37413867862919,-20.499403083814517,-47.81364506202646,True
NVDA_w08_s0019,NVDA,technology,linear_trend,8,2.0,80,42.87354176244371,22.480768357407204,-20.392773405036504,-47.56493764389704,True
COST_w12_s0019,COST,consumer,linear_trend,12,0.5,30,27.77000509186674,7.471731946343138,-20.2982731455236,-73.09423631135216,True
JPM_w08_s0000,JPM,finance,linear_trend,8,1.0,40,35.62615090017549,15.893810575088027,-19.732340325087463,-55.3872361355497,True
NVDA_w12_s0016,NVDA,technology,linear_trend,12,0.5,30,36.74252975063639,17.30500683074138,-19.437522919895013,-52.901972324206525,True
NVDA_w08_s0020,NVDA,technology,linear_trend,8,0.5,20,35.7792809874863,16.534330013627095,-19.244950973859208,-53.7879757298367,True
COST_w12_s0019,COST,consumer,linear_trend,12,1.0,60,27.77000509186674,8.601318313896185,-19.168686777970557,-69.02658719203717,True
JPM_w08_s0000,JPM,finance,linear_trend,8,0.5,20,35.62615090017549,16.46504401162221,-19.161106888553277,-53.783825657289555,True
NVDA_w12_s0016,NVDA,technology,linear_trend,12,2.0,120,36.74252975063639,17.66361875330813,-19.078910997328265,-51.92595917268819,True
NVDA_w12_s0016,NVDA,technology,linear_trend,12,1.0,60,36.74252975063639,17.918302244082614,-18.82422750655378,-51.23280197174702,True
NVDA_w08_s0019,NVDA,technology,linear_trend,8,1.0,40,42.87354176244371,24.448824743816637,-18.42471701862707,-42.97456254189554,True
NVDA_w08_s0020,NVDA,technology,linear_trend,8,1.0,40,35.7792809874863,18.886437023831267,-16.892843963655036,-47.2140397946042,True
CVX_w12_s0001,CVX,energy,linear_trend,12,0.5,30,21.90591631372549,5.106506876397944,-16.799409437327547,-76.68891452306707,True
TGT_w12_s0021,TGT,consumer,linear_trend,12,1.0,60,32.00041359100448,15.64986405830198,-16.3505495327025,-51.09480690367935,True
WMT_w04_s0021,WMT,consumer,linear_trend,4,0.5,10,26.329699389398087,10.0363715202991,-16.293327869098988,-61.88193654675624,True
MSFT_w08_s0001,MSFT,technology,linear_trend,8,2.0,80,24.95348060679464,8.810337846511962,-16.14314276028268,-64.69295011248661,True
TGT_w12_s0021,TGT,consumer,linear_trend,12,2.0,120,32.00041359100448,16.18529032532356,-15.81512326568092,-49.42162144468861,True
CVX_w12_s0020,CVX,energy,linear_trend,12,2.0,120,21.113134316142094,5.35582481545467,-15.757309500687423,-74.63273460369234,True
