sample_id,ticker,sector,model,cold_start_weeks,augmentation_ratio,n_synthetic_series,baseline_MAPE,augmented_MAPE,MAPE_difference,percent_change_MAPE,improved
NVDA_w12_s0025,NVDA,technology,linear_trend,12,2.0,120,10.562070631316542,19.417123983950983,8.85505335263444,83.83823268876091,False
COST_w08_s0020,COST,consumer,linear_trend,8,0.5,20,5.703296165668213,14.459760695407168,8.756464529738954,153.53340025457055,False
NVDA_w04_s0016,NVDA,technology,linear_trend,4,0.5,10,18.07043816878589,26.091525149434723,8.021086980648832,44.38789422662765,False
NVDA_w12_s0025,NVDA,technology,linear_trend,12,1.0,60,10.562070631316542,18.536998180389304,7.974927549072762,75.50534196795749,False
NVDA_w12_s0015,NVDA,technology,linear_trend,12,0.5,30,10.93042958480797,18.878982265728137,7.948552680920168,72.71949029311469,False
NVDA_w12_s0029,NVDA,technology,linear_trend,12,0.5,30,2.487070722352237,10.255197064467794,7.768126342115557,312.34038792304915,False
GS_w04_s0028,GS,finance,linear_trend,4,1.0,20,8.065564382639954,15.78175011161498,7.7161857289750255,95.66826774804602,False
GS_w04_s0028,GS,finance,linear_trend,4,2.0,40,8.065564382639954,15.769169341508714,7.703604958868761,95.5122864737121,False
XOM_w04_s0009,XOM,energy,linear_trend,4,0.5,10,7.817232059293852,15.508720387565528,7.691488328271676,98.3914545446725,False
GS_w04_s0028,GS,finance,linear_trend,4,0.5,10,8.065564382639954,15.707297093038978,7.641732710399024,94.74517030509148,False
GS_w04_s0020,GS,finance,linear_trend,4,2.0,40,2.596270224840568,10.12470490923667,7.528434684396101,289.97115216920105,False
NVDA_w04_s0007,NVDA,technology,moving_average,4,2.0,40,2.4290284865281775,9.94728731237067,7.518258825842493,309.51711219280014,False
BAC_w04_s0021,BAC,finance,linear_trend,4,0.5,10,6.071417808897451,13.580715110811155,7.509297301913705,123.68276304274583,False
NVDA_w12_s0029,NVDA,technology,linear_trend,12,2.0,120,2.487070722352237,9.985079470351092,7.498008747998855,301.47951486105484,False
BAC_w04_s0028,BAC,finance,linear_trend,4,0.5,10,8.434552435430557,15.925063243232357,7.490510807801799,88.80744847037556,False
NVDA_w08_s0033,NVDA,technology,linear_trend,8,1.0,40,12.369786262527354,19.777183234225777,7.407396971698423,59.88298273300131,False
NVDA_w12_s0029,NVDA,technology,linear_trend,12,1.0,60,2.487070722352237,9.66149645366119,7.174425731308953,288.4689070893602,False
NVDA_w04_s0007,NVDA,technology,linear_trend,4,2.0,40,4.30770091887503,11.413832035906127,7.106131117031097,164.9634283079914,False
NVDA_w04_s0002,NVDA,technology,linear_trend,4,1.0,20,3.1183797867825045,10.220823633367436,7.102443846584931,227.76070691226232,False
JPM_w04_s0021,JPM,finance,linear_trend,4,2.0,40,12.290269111093476,19.342507341135224,7.052238230041748,57.38066568189494,False
TGT_w04_s0021,TGT,consumer,moving_average,4,2.0,40,7.957327506824459,14.993660958674583,7.036333451850124,88.42583701394142,False
BAC_w12_s0018,BAC,finance,linear_trend,12,2.0,120,4.415541414019737,11.443383220001726,7.027841805981989,159.16149679103825,False
WMT_w08_s0000,WMT,consumer,linear_trend,8,2.0,80,3.569408512714204,10.535482340078731,6.966073827364527,195.16045312693765,False
TGT_w04_s0021,TGT,consumer,moving_average,4,1.0,20,7.957327506824459,14.854207502854342,6.896879996029883,86.67332078659446,False
NVDA_w12_s0008,NVDA,technology,linear_trend,12,2.0,120,9.623598603952626,16.50983211849754,6.886233514544912,71.55570174878847,False
BAC_w12_s0018,BAC,finance,linear_trend,12,0.5,30,4.415541414019737,11.276926773358364,6.861385359338627,155.39171113995482,False
GS_w04_s0020,GS,finance,linear_trend,4,1.0,20,2.596270224840568,9.431868038976178,6.83559781413561,263.2852986077507,False
WMT_w08_s0000,WMT,consumer,linear_trend,8,1.0,40,3.569408512714204,10.332615880417665,6.76320736770346,189.4769775892272,False
BAC_w12_s0018,BAC,finance,linear_trend,12,1.0,60,4.415541414019737,11.15397499461606,6.738433580596324,152.6071878569907,False
NVDA_w04_s0002,NVDA,technology,linear_trend,4,2.0,40,3.1183797867825045,9.761467134491276,6.6430873477087715,213.030092609823,False
BAC_w04_s0021,BAC,finance,linear_trend,4,2.0,40,6.071417808897451,12.671571352082683,6.6001535431852325,108.70860400206584,False
WMT_w08_s0000,WMT,consumer,linear_trend,8,0.5,20,3.569408512714204,10.115988876023184,6.54658036330898,183.40798874631787,False
